level,action,base_int,base_luk,base_hp,base_mp,extra_mp,fresh_ap_int,fresh_ap_luk,fresh_ap_dex,fresh_ap_hp,fresh_ap_mp,apr_spent,notes
112,HP5,360,196,9172,7684,5968,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
113,HP5,360,201,9304,7692,5962,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
114,HP5,360,206,9436,7700,5956,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
115,HP5,360,211,9568,7708,5950,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
116,HP5,360,216,9700,7716,5944,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
117,HP5,360,221,9832,7724,5938,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
118,HP5,360,226,9964,7732,5932,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
119,HP5,360,231,10096,7740,5926,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
120,HP5,360,241,10664,7865,6037,0,0,0,10,0,10,Method1×10（+220.0 HP）；洗回 INT 0 LUK 10
121,HP5,360,246,10796,7875,6033,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
122,HP5,360,251,10928,7885,6029,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
123,HP5,360,256,11060,7895,6025,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
124,HP5,360,261,11192,7905,6021,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
125,HP5,360,266,11324,7915,6017,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
126,HP5,360,271,11456,7925,6013,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
127,HP5,360,276,11588,7935,6009,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
128,HP5,360,281,11720,7945,6005,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
129,HP5,360,286,11852,7955,6001,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
130,HP5,360,291,11984,7965,5997,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
131,HP5,360,296,12116,7975,5993,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
132,HP5,360,301,12248,7985,5989,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
133,HP5,360,306,12380,7995,5985,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
134,HP5,360,311,12512,8005,5981,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
135,HP5,360,316,12644,8015,5977,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
136,HP5,360,321,12776,8025,5973,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
137,HP5,360,326,12908,8035,5969,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
138,HP5,360,331,13040,8045,5965,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
139,HP5,360,336,13172,8055,5961,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
140,HP5,360,341,13304,8065,5957,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
141,HP5,360,346,13436,8075,5953,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
142,HP5,360,351,13568,8085,5949,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
143,HP5,360,356,13700,8095,5945,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
144,HP5,360,361,13832,8105,5941,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
145,HP5,360,366,13964,8115,5937,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
146,HP5,360,371,14096,8125,5933,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
147,HP5,360,376,14228,8135,5929,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
148,HP5,360,381,14360,8145,5925,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
149,HP5,360,386,14492,8155,5921,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
150,HP5,360,391,14624,8165,5917,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
151,HP5,360,396,14756,8175,5913,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
152,HP5,360,401,14888,8185,5909,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
153,HP5,360,406,15020,8195,5905,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
154,HP5,360,411,15152,8205,5901,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
155,HP5,360,416,15284,8215,5897,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
155,RESET_INT,4,772,15284,8215,5897,0,0,0,0,0,356,INT → LUK（356 APR）
156,HP5,4,777,15416,8186,5854,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
157,HP5,4,782,15548,8157,5811,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
158,HP5,4,787,15680,8128,5768,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
159,HP5,4,792,15812,8099,5725,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
160,HP5,4,797,15944,8070,5682,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
161,HP5,4,802,16076,8041,5639,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
162,HP5,4,807,16208,8012,5596,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
163,HP5,4,812,16340,7983,5553,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
164,HP5,4,817,16472,7954,5510,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
165,HP5,4,822,16604,7925,5467,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
166,HP5,4,827,16736,7896,5424,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
167,HP5,4,832,16868,7867,5381,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
168,HP5,4,837,17000,7838,5338,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
169,HP5,4,842,17132,7809,5295,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
170,HP5,4,847,17264,7780,5252,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
171,HP5,4,852,17396,7751,5209,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
172,HP5,4,857,17528,7722,5166,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
173,HP5,4,862,17660,7693,5123,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
174,HP5,4,867,17792,7664,5080,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
175,HP5,4,872,17924,7635,5037,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
176,HP5,4,877,18056,7606,4994,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
177,HP5,4,882,18188,7577,4951,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
178,HP5,4,887,18320,7548,4908,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
179,HP5,4,892,18452,7519,4865,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
180,HP5,4,897,18584,7490,4822,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
181,HP5,4,902,18716,7461,4779,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
182,HP5,4,907,18848,7432,4736,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
183,HP5,4,912,18980,7403,4693,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
184,HP5,4,917,19112,7374,4650,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
185,HP5,4,922,19244,7345,4607,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
186,HP5,4,927,19376,7316,4564,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
187,HP5,4,932,19508,7287,4521,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
188,HP5,4,937,19640,7258,4478,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
189,HP5,4,942,19772,7229,4435,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
190,HP5,4,947,19904,7200,4392,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
191,HP5,4,952,20036,7171,4349,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
192,HP5,4,957,20168,7142,4306,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
193,HP5,4,962,20300,7113,4263,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
194,HP5,4,967,20432,7084,4220,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
195,HP5,4,972,20564,7055,4177,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
196,HP5,4,977,20696,7026,4134,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
197,HP5,4,982,20828,6997,4091,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
198,HP5,4,987,20960,6968,4048,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
199,HP5,4,992,21092,6939,4005,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
200,HP5,4,997,21224,6910,3962,0,0,0,5,0,5,Method1×5（+110.0 HP）；洗回 INT 0 LUK 5
200,M2,4,997,27002,3058,110,0,0,0,0,0,321,Method2×321（+5778.0 HP）
